epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,310.186,1.62474,2.44744,1.49195,0.4413,0.26531,0.2739,0.13835,1.65484,2.7008,1.48618,0.000656716,0.000656716,0.000656716
2,512.172,1.54313,1.96853,1.44352,0.51625,0.36443,0.40482,0.21345,1.63344,2.37991,1.65393,0.00129718,0.00129718,0.00129718
3,711.311,1.66125,1.98083,1.54735,0.45614,0.34111,0.33887,0.15115,1.8363,3.74078,1.76655,0.00191124,0.00191124,0.00191124
4,910.245,1.65303,1.88482,1.52389,0.37019,0.36443,0.28305,0.1333,1.93164,2.5355,1.83725,0.0018812,0.0018812,0.0018812
5,1108.79,1.58169,1.75963,1.50605,0.58857,0.51603,0.56857,0.28839,1.60683,1.93542,1.56046,0.0018416,0.0018416,0.0018416
6,1306.49,1.54664,1.65652,1.47061,0.67071,0.41691,0.5302,0.27227,1.62755,1.89861,1.59193,0.001802,0.001802,0.001802
7,1503.18,1.57317,1.60052,1.48044,0.69284,0.50638,0.58849,0.3325,1.5245,1.74301,1.47497,0.0017624,0.0017624,0.0017624
8,1706.74,1.49464,1.48959,1.41401,0.59991,0.58017,0.61155,0.34361,1.50225,1.6006,1.47109,0.0017228,0.0017228,0.0017228
9,1910.36,1.48272,1.46161,1.41984,0.62618,0.58309,0.63174,0.36245,1.453,1.50536,1.42864,0.0016832,0.0016832,0.0016832
10,2111.99,1.48207,1.43532,1.40003,0.6819,0.50146,0.59117,0.33543,1.49495,1.64759,1.46051,0.0016436,0.0016436,0.0016436
11,2316.22,1.46023,1.42162,1.39838,0.60097,0.58892,0.62158,0.33217,1.46254,1.79016,1.42807,0.001604,0.001604,0.001604
12,2520.62,1.37924,1.33029,1.34037,0.76743,0.59475,0.6812,0.39113,1.43101,1.47641,1.40848,0.0015644,0.0015644,0.0015644
13,2718.86,1.4105,1.31885,1.35585,0.68751,0.59767,0.63573,0.38028,1.40861,1.4917,1.39202,0.0015248,0.0015248,0.0015248
14,2923.17,1.42226,1.33114,1.38488,0.74293,0.55977,0.65,0.38005,1.4843,1.4295,1.45264,0.0014852,0.0014852,0.0014852
15,3124.63,1.37247,1.28342,1.34143,0.7248,0.645,0.68511,0.40293,1.40674,1.39436,1.36905,0.0014456,0.0014456,0.0014456
16,3322.76,1.38451,1.27125,1.33175,0.68633,0.61516,0.67695,0.40203,1.40461,1.33666,1.39536,0.001406,0.001406,0.001406
17,3527.93,1.30936,1.19598,1.31533,0.70199,0.58892,0.65346,0.38017,1.39696,1.41112,1.39406,0.0013664,0.0013664,0.0013664
18,3729.88,1.31744,1.17859,1.30464,0.74676,0.6362,0.70238,0.42409,1.36122,1.31199,1.35235,0.0013268,0.0013268,0.0013268
19,3932.72,1.33469,1.20399,1.33119,0.66127,0.64723,0.68812,0.41862,1.36322,1.29155,1.3482,0.0012872,0.0012872,0.0012872
20,4132.16,1.34252,1.17599,1.31847,0.75186,0.62391,0.71458,0.45203,1.34314,1.26569,1.32692,0.0012476,0.0012476,0.0012476
21,4332.41,1.30098,1.15475,1.28397,0.75461,0.61516,0.71414,0.44083,1.337,1.23576,1.325,0.001208,0.001208,0.001208
22,4531.85,1.2767,1.14376,1.27723,0.70742,0.62682,0.70948,0.43997,1.33467,1.30431,1.31433,0.0011684,0.0011684,0.0011684
23,4728.86,1.27673,1.13376,1.29139,0.72285,0.68805,0.7391,0.44645,1.33659,1.18095,1.32839,0.0011288,0.0011288,0.0011288
24,4928.43,1.29655,1.12753,1.29514,0.66295,0.61931,0.66494,0.38259,1.42459,1.29744,1.41593,0.0010892,0.0010892,0.0010892
25,5128.69,1.25849,1.10701,1.28372,0.72627,0.67638,0.73666,0.46592,1.28588,1.18258,1.29307,0.0010496,0.0010496,0.0010496
26,5332.74,1.23603,1.06322,1.25163,0.74116,0.66181,0.73478,0.46588,1.24495,1.23018,1.27688,0.00101,0.00101,0.00101
27,5534.17,1.23862,1.05568,1.2648,0.78296,0.65015,0.73445,0.45985,1.28131,1.21382,1.30286,0.0009704,0.0009704,0.0009704
28,5738.61,1.21393,1.01849,1.24223,0.73339,0.64961,0.71869,0.45599,1.2969,1.2077,1.30226,0.0009308,0.0009308,0.0009308
29,5940.96,1.18332,0.96839,1.22509,0.73132,0.66181,0.72415,0.4606,1.30496,1.15796,1.32749,0.0008912,0.0008912,0.0008912
30,6145.45,1.18314,0.97625,1.22238,0.72316,0.70064,0.76521,0.48624,1.27126,1.08042,1.28993,0.0008516,0.0008516,0.0008516
31,6343.44,1.19721,1.00034,1.23727,0.77038,0.65598,0.74927,0.47773,1.27362,1.1388,1.30791,0.000812,0.000812,0.000812
32,6545.86,1.17655,0.96251,1.22156,0.77351,0.65889,0.75189,0.48569,1.24942,1.11869,1.26218,0.0007724,0.0007724,0.0007724
33,6748.85,1.15944,0.95426,1.20936,0.69905,0.74493,0.77195,0.49227,1.28498,1.07515,1.30464,0.0007328,0.0007328,0.0007328
34,6948.75,1.14288,0.93849,1.20841,0.83227,0.65598,0.76405,0.48286,1.28563,1.11289,1.30921,0.0006932,0.0006932,0.0006932
35,7147.8,1.118,0.90249,1.18995,0.75057,0.67553,0.76083,0.49015,1.25289,1.14032,1.26777,0.0006536,0.0006536,0.0006536
36,7348.05,1.14114,0.89808,1.20299,0.75116,0.6793,0.76152,0.49219,1.24509,1.09053,1.28362,0.000614,0.000614,0.000614
37,7548.33,1.11054,0.85257,1.17454,0.85401,0.63104,0.77753,0.4962,1.25297,1.05591,1.26558,0.0005744,0.0005744,0.0005744
38,7745,1.10929,0.85049,1.1707,0.81944,0.6414,0.76819,0.49887,1.24436,1.09916,1.25765,0.0005348,0.0005348,0.0005348
39,7968.8,1.11529,0.87089,1.18207,0.806,0.65409,0.76828,0.49833,1.21715,1.0474,1.2562,0.0004952,0.0004952,0.0004952
40,8159.18,1.1077,0.87013,1.18739,0.70913,0.71077,0.76286,0.49266,1.22377,1.10488,1.25524,0.0004556,0.0004556,0.0004556
41,8347.55,1.03168,0.82313,1.13232,0.71869,0.65547,0.7343,0.45752,1.2853,1.10885,1.30271,0.000416,0.000416,0.000416
42,8536.96,0.9845,0.77529,1.09377,0.77922,0.67638,0.76038,0.48678,1.25114,1.07304,1.27289,0.0003764,0.0003764,0.0003764
43,8726.18,0.99621,0.74645,1.10633,0.73811,0.67638,0.75555,0.49288,1.25114,1.0944,1.26547,0.0003368,0.0003368,0.0003368
44,8919.01,0.97196,0.71814,1.09076,0.74156,0.6793,0.75816,0.48986,1.25534,1.07072,1.27345,0.0002972,0.0002972,0.0002972
45,9108.25,0.95647,0.69009,1.08989,0.71068,0.71616,0.76892,0.5113,1.20382,1.06175,1.24209,0.0002576,0.0002576,0.0002576
46,9295.25,0.95712,0.69152,1.07662,0.78822,0.6836,0.77549,0.50278,1.22317,1.04106,1.26276,0.000218,0.000218,0.000218
